entreprise_id,date_declaration,secteur,taille,localisation,nb_salaries_declares,salaire_moyen_declare,masse_salariale_declaree,cotisations_dues,date_paiement,jours_retard,montant_paye,sous_declaration_taux,flag_fraude,flag_retard_grave,annee,mois
ENT_0001,2022-01-01,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,3,115137,345412,100170,2022-01-11,0,100170,0.6,1,0,2022,1
ENT_0001,2022-01-31,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,3,211806,635417,184271,2022-02-10,0,184271,1.0,0,0,2022,1
ENT_0001,2022-03-02,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,4,208653,834613,242038,2022-03-12,0,242038,1.0,0,0,2022,3
ENT_0001,2022-04-01,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,3,218637,655911,190214,2022-04-11,0,190214,1.0,0,0,2022,4
ENT_0001,2022-05-01,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,3,195938,587814,170466,2022-06-10,30,170466,1.0,0,0,2022,5
ENT_0001,2022-05-31,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,3,217331,651993,189078,2022-06-10,0,189078,1.0,0,0,2022,5
ENT_0001,2022-06-30,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,3,215114,645342,187149,2022-07-10,0,187149,1.0,0,0,2022,6
ENT_0001,2022-07-30,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,4,161598,646392,187454,2022-08-09,0,187454,0.84,1,0,2022,7
ENT_0001,2022-08-29,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,4,183792,735167,213199,2022-10-23,45,213199,1.0,0,1,2022,8
ENT_0001,2022-09-28,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,4,180095,720382,208911,2022-10-08,0,208911,1.0,0,0,2022,9
ENT_0001,2022-10-28,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,3,186848,560545,162558,2022-11-07,0,162558,1.0,0,0,2022,10
ENT_0001,2022-11-27,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,4,157533,630133,182738,2022-12-07,0,182738,0.82,1,0,2022,11
ENT_0001,2022-12-27,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,4,216396,865582,251019,2023-01-06,0,251019,1.0,0,0,2022,12
ENT_0001,2023-01-26,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,3,195652,586957,170217,2023-02-05,0,170217,1.0,0,0,2023,1
ENT_0001,2023-02-25,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,4,207310,829239,240479,2023-03-07,0,168335,1.0,0,0,2023,2
ENT_0001,2023-03-27,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,3,207963,623888,180928,2023-04-06,0,180928,1.0,0,0,2023,3
ENT_0001,2023-04-26,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,4,210663,842654,244370,2023-05-06,0,244370,1.0,0,0,2023,4
ENT_0001,2023-05-26,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,3,197376,592129,171717,2023-07-20,45,171717,1.0,0,1,2023,5
ENT_0001,2023-06-25,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,4,202880,811519,235341,2023-07-05,0,164738,1.0,0,0,2023,6
